train_input_1,train_input_2,train_output_1
[-113 -881 19 -528 -815 374 127 -892 761 226 -231 -918 -189 847 -174 874 643 125 417 -965 -202 773 948 523 552 -42 359 -56 739 -568 48 -104 589 784 971 -641 -255 -87 -131 -451 338 745 -432 -902 -950 804 218 719 230 -195],[-970 93 819 239 -682 470 597 676 791 -622 656 612 825 690 995 98 187 520 -378 -99 -976 932 -676 632 -623 -947 164 -832 -613 -614 611 -37 -585 -179 -156 530 335 691 -211 202 -459 49 799 747 -749 539 -426 -333 541 -592],[-1083 -788 838 -289 -1497 844 724 -216 1552 -396 425 -306 636 1537 821 972 830 645 39 -1064 -1178 1705 272 1155 -71 -989 523 -888 126 -1182 659 -141 4 605 815 -111 80 604 -342 -249 -121 794 367 -155 -1699 1343 -208 386 771 -787]
[226 -567 -916 91 568 374 217 434 -810 614 -251 -679 -350 -993 -548 426 -218 -99 168 -465 561 938 192 586 -757 847 -714 761 364 318 341 -329 -205 911 224 -403 -237 176 -508 -763 780 852 177 -127 515 844 511 267 918 276],[-736 -225 -900 39 573 271 183 150 23 -353 -761 1000 676 -12 138 -889 -677 -134 843 -181 653 587 -928 -276 -526 231 -466 388 238 -745 936 -49 -61 -568 -113 687 -496 -646 323 469 -72 697 664 842 729 -195 -285 -359 -886 -788],[-510 -792 -1816 130 1141 645 400 584 -787 261 -1012 321 326 -1005 -410 -463 -895 -233 1011 -646 1214 1525 -736 310 -1283 1078 -1180 1149 602 -427 1277 -378 -266 343 111 284 -733 -470 -185 -294 708 1549 841 715 1244 649 226 -92 32 -512]
[720 753 -87 -704 261 904 678 822 -415 472 397 -750 164 993 -980 488 -732 612 368 870 453 865 966 -953 580 -767 112 679 96 -215 741 190 820 -612 -715 -994 23 -836 543 854 685 505 -119 174 -139 297 314 -404 -659 700],[-650 -400 52 737 -357 440 224 697 749 151 306 -574 -812 548 816 -37 30 629 -496 261 -122 339 344 -346 769 -243 166 4 -804 -638 669 181 75 -572 -496 -775 159 -73 987 464 -914 551 541 143 -60 907 70 370 188 233],[70 353 -35 33 -96 1344 902 1519 334 623 703 -1324 -648 1541 -164 451 -702 1241 -128 1131 331 1204 1310 -1299 1349 -1010 278 683 -708 -853 1410 371 895 -1184 -1211 -1769 182 -909 1530 1318 -229 1056 422 317 -199 1204 384 -34 -471 933]
[-498 401 -500 251 -7 880 229 806 877 -424 -717 276 -65 -565 -666 500 22 610 -416 683 -269 609 -791 -82 444 583 -848 -511 834 905 -367 -206 561 744 -69 51 520 385 -98 96 -802 -320 -106 338 12 -369 553 543 -592 452],[-853 -120 713 -430 922 -158 -141 476 -943 -415 242 -671 -337 291 576 -275 -403 -868 -122 -290 252 549 -531 841 220 210 966 850 581 -420 182 399 -889 -217 -241 437 759 -590 148 -643 -669 70 -579 -307 -782 -357 -127 -919 549 -603],[-1351 281 213 -179 915 722 88 1282 -66 -839 -475 -395 -402 -274 -90 225 -381 -258 -538 393 -17 1158 -1322 759 664 793 118 339 1415 485 -185 193 -328 527 -310 488 1279 -205 50 -547 -1471 -250 -685 31 -770 -726 426 -376 -43 -151]
[457 774 -275 166 278 -561 -774 -373 -318 -962 428 771 -909 842 423 353 362 -267 -929 294 872 599 800 420 277 624 -593 -97 694 356 -417 -5 107 -657 650 692 -665 296 676 454 -443 -972 -664 210 -531 20 -960 -494 920 547],[251 416 824 -65 -888 -537 272 -197 456 -268 -308 -666 -678 70 233 -312 -266 124 192 341 -798 -810 582 -517 -326 -243 -617 319 -39 -203 -100 -546 -746 -612 -711 612 -807 -705 904 -970 728 -336 -923 -160 243 -777 -664 98 -42 959],[708 1190 549 101 -610 -1098 -502 -570 138 -1230 120 105 -1587 912 656 41 96 -143 -737 635 74 -211 1382 -97 -49 381 -1210 222 655 153 -517 -551 -639 -1269 -61 1304 -1472 -409 1580 -516 285 -1308 -1587 50 -288 -757 -1624 -396 878 1506]
[479 214 2 -278 -966 -774 737 -308 421 768 580 -391 -286 485 612 330 356 -283 -333 470 374 -308 838 466 -796 -974 -436 651 515 -428 -927 84 5 78 -244 -961 698 408 -430 417 487 970 829 125 45 639 175 -998 96 691],[-830 -74 -471 808 282 -410 927 -413 -696 452 -721 951 -65 -944 365 892 276 778 119 -284 -603 -251 135 -767 248 359 -315 459 886 -677 800 -783 -477 -934 -685 827 709 -598 -391 -110 -588 717 248 -580 332 236 -480 -531 -360 605],[-351 140 -469 530 -684 -1184 1664 -721 -275 1220 -141 560 -351 -459 977 1222 632 495 -214 186 -229 -559 973 -301 -548 -615 -751 1110 1401 -1105 -127 -699 -472 -856 -929 -134 1407 -190 -821 307 -101 1687 1077 -455 377 875 -305 -1529 -264 1296]
[279 -239 -290 -500 911 -307 -849 -34 934 162 426 660 321 866 116 -528 -48 670 -273 -719 -197 -955 -146 997 574 -744 -900 440 -769 -334 -421 767 977 -174 857 -376 762 954 44 778 -391 -322 -911 -312 -876 -547 504 -340 966 739],[-883 -729 -198 -774 -897 -644 271 152 -493 439 -325 226 -976 -624 67 -983 -363 109 825 842 -614 -327 296 -153 214 -600 664 701 657 344 251 55 907 42 405 253 -856 -884 -729 -10 245 871 251 -341 805 -942 747 795 -835 -889],[-604 -968 -488 -1274 14 -951 -578 118 441 601 101 886 -655 242 183 -1511 -411 779 552 123 -811 -1282 150 844 788 -1344 -236 1141 -112 10 -170 822 1884 -132 1262 -123 -94 70 -685 768 -146 549 -660 -653 -71 -1489 1251 455 131 -150]
[-970 -873 244 -940 -359 -275 155 -892 -82 -49 -150 93 235 270 303 -708 -430 -791 202 -815 686 362 816 -229 -655 -448 -621 375 139 -337 411 -963 220 -326 861 703 -655 -74 -730 -186 -743 948 771 155 -942 -437 -832 33 -723 -117],[-221 763 -56 23 749 -829 -154 -205 -271 -983 365 -304 -896 -229 -714 -304 121 481 70 774 9 -95 -429 -641 55 -550 647 -801 106 853 -617 350 976 952 351 27 982 909 -157 -198 178 -870 699 990 343 -156 -514 637 -415 -835],[-1191 -110 188 -917 390 -1104 1 -1097 -353 -1032 215 -211 -661 41 -411 -1012 -309 -310 272 -41 695 267 387 -870 -600 -998 26 -426 245 516 -206 -613 1196 626 1212 730 327 835 -887 -384 -565 78 1470 1145 -599 -593 -1346 670 -1138 -952]
[395 -661 -216 -429 954 239 -193 741 2 -904 656 282 586 -523 864 -596 282 573 -478 -762 -269 982 137 -712 -681 185 997 -808 -198 -274 -468 -528 899 -688 58 640 424 677 875 -606 301 -639 -336 934 -303 918 180 116 -302 -287],[-511 235 58 750 679 -67 -525 -197 688 754 -986 -617 -869 -451 -255 -246 -685 682 -344 -713 -424 453 527 -256 -695 -266 49 -188 622 230 303 718 -776 -661 -437 22 21 -976 -309 -585 -741 -802 -740 168 -477 544 937 681 720 -766],[-116 -426 -158 321 1633 172 -718 544 690 -150 -330 -335 -283 -974 609 -842 -403 1255 -822 -1475 -693 1435 664 -968 -1376 -81 1046 -996 424 -44 -165 190 123 -1349 -379 662 445 -299 566 -1191 -440 -1441 -1076 1102 -780 1462 1117 797 418 -1053]
[845 203 604 -363 -870 167 -940 584 191 -153 110 237 125 599 768 328 -265 -422 -368 35 -939 -350 -743 -164 -343 721 114 373 523 -910 -815 474 -519 -969 940 846 -873 938 903 23 831 141 555 -824 403 184 420 912 878 571],[581 606 134 456 -2 -450 -382 -1000 -868 907 -731 691 249 704 -745 -463 859 58 312 59 6 876 741 935 706 -784 -873 -868 -118 -494 -839 -746 -619 -1 431 -231 444 -540 901 -148 953 -870 135 -349 151 -600 543 -391 126 628],[1426 809 738 93 -872 -283 -1322 -416 -677 754 -621 928 374 1303 23 -135 594 -364 -56 94 -933 526 -2 771 363 -63 -759 -495 405 -1404 -1654 -272 -1138 -970 1371 615 -429 398 1804 -125 1784 -729 690 -1173 554 -416 963 521 1004 1199]
[51 652 -917 -685 -648 -663 -720 812 -442 64 -752 865 286 -170 -129 -801 246 436 103 -615 -194 -558 115 -941 21 -620 369 606 782 -916 -20 -377 -829 -749 -841 392 318 -805 55 -542 932 -606 -281 -9 -100 864 -976 -196 -54 -468],[290 705 982 -669 355 69 -351 648 -416 -313 -442 -941 -136 243 -245 -660 174 518 -480 130 352 -529 -506 -274 -309 -633 863 52 585 706 -666 -270 299 583 492 990 74 -465 599 744 768 -460 261 -491 -748 -64 719 854 -629 -699],[341 1357 65 -1354 -293 -594 -1071 1460 -858 -249 -1194 -76 150 73 -374 -1461 420 954 -377 -485 158 -1087 -391 -1215 -288 -1253 1232 658 1367 -210 -686 -647 -530 -166 -349 1382 392 -1270 654 202 1700 -1066 -20 -500 -848 800 -257 658 -683 -1167]
[-148 50 832 -215 -943 299 -93 8 810 -580 -710 640 308 -280 -942 581 -832 620 -33 -994 -640 -676 146 815 -481 -486 921 159 611 256 -261 -546 876 368 -890 -751 -786 312 672 493 -987 11 -639 -793 892 0 -539 -472 -560 622],[631 246 -999 -951 -267 -840 -98 8 -480 56 -230 -729 -451 -394 362 695 -646 158 -265 527 103 725 -675 536 -634 215 129 415 -921 777 887 52 -578 -106 -374 264 -931 931 629 19 474 442 -761 -60 -688 -143 -405 -866 -735 368],[483 296 -167 -1166 -1210 -541 -191 16 330 -524 -940 -89 -143 -674 -580 1276 -1478 778 -298 -467 -537 49 -529 1351 -1115 -271 1050 574 -310 1033 626 -494 298 262 -1264 -487 -1717 1243 1301 512 -513 453 -1400 -853 204 -143 -944 -1338 -1295 990]
[-714 196 674 -335 -39 -252 -651 582 -308 -68 -674 -731 611 167 -222 243 197 -883 529 -988 -479 324 863 380 -290 -993 691 231 -532 -166 -533 -761 802 -841 136 -872 -409 789 -334 -205 -781 835 -340 1000 107 -823 -244 -476 -800 -37],[280 -660 308 -949 -259 497 -100 -911 844 -795 313 -540 -135 -741 481 -70 727 199 64 -983 295 -833 -504 941 35 -612 72 525 -727 66 414 -136 594 -907 71 908 -236 -430 948 275 -153 -185 -132 271 155 -530 -108 949 975 -481],[-434 -464 982 -1284 -298 245 -751 -329 536 -863 -361 -1271 476 -574 259 173 924 -684 593 -1971 -184 -509 359 1321 -255 -1605 763 756 -1259 -100 -119 -897 1396 -1748 207 36 -645 359 614 70 -934 650 -472 1271 262 -1353 -352 473 175 -518]
[974 497 95 729 35 -446 150 -397 -977 382 787 -689 -257 -196 467 695 471 789 472 742 -856 942 860 49 -334 774 661 -940 603 -184 237 411 -913 382 764 604 36 -532 289 36 546 -652 881 -847 -820 469 -192 585 677 594],[-883 769 223 -757 -839 -746 631 -349 -684 736 565 840 72 64 958 -456 49 -637 -467 -213 959 148 -773 9 -14 785 -186 -829 -256 35 -809 -481 916 246 -678 701 808 -926 -649 612 -372 32 816 740 982 262 -936 -905 -986 -56],[91 1266 318 -28 -804 -1192 781 -746 -1661 1118 1352 151 -185 -132 1425 239 520 152 5 529 103 1090 87 58 -348 1559 475 -1769 347 -149 -572 -70 3 628 86 1305 844 -1458 -360 648 174 -620 1697 -107 162 731 -1128 -320 -309 538]
[155 802 -997 -963 -784 -843 -567 -129 635 467 463 518 -403 218 -268 -249 -593 -224 -51 830 -230 -843 -521 -237 152 240 233 -279 227 -416 565 577 -832 -734 72 -964 597 -795 -922 -86 388 -117 -825 -15 535 233 -252 516 908 -864],[-896 762 -446 514 660 599 790 -825 380 -731 -650 89 226 -69 -641 590 -876 39 -77 34 67 -303 -777 257 971 -718 484 -719 -884 360 699 -674 68 -493 323 362 588 584 -893 -339 -923 908 -780 433 -20 149 -248 -574 -269 -261],[-741 1564 -1443 -449 -124 -244 223 -954 1015 -264 -187 607 -177 149 -909 341 -1469 -185 -128 864 -163 -1146 -1298 20 1123 -478 717 -998 -657 -56 1264 -97 -764 -1227 395 -602 1185 -211 -1815 -425 -535 791 -1605 418 515 382 -500 -58 639 -1125]
[364 264 578 499 288 525 213 -768 338 265 -956 -982 -122 129 -636 -118 780 955 313 107 -409 592 492 -763 50 637 573 -996 -935 764 737 159 879 724 -600 -193 -889 -244 -269 306 120 792 423 -567 -29 -766 99 869 -73 256],[710 -410 -134 862 226 103 -676 818 -241 168 890 944 175 533 -986 -194 488 825 -409 -343 102 -600 -961 -231 316 190 832 370 -320 -718 735 907 282 415 -175 345 951 -384 943 774 -748 137 926 -374 542 -414 -149 -331 -5 919],[1074 -146 444 1361 514 628 -463 50 97 433 -66 -38 53 662 -1622 -312 1268 1780 -96 -236 -307 -8 -469 -994 366 827 1405 -626 -1255 46 1472 1066 1161 1139 -775 152 62 -628 674 1080 -628 929 1349 -941 513 -1180 -50 538 -78 1175]
[227 554 60 -564 -316 -398 -876 585 308 -148 -939 513 342 -893 715 -561 -378 -165 -453 387 877 -444 -848 -265 -271 -974 652 625 -775 -103 969 -163 957 -623 -999 290 -874 810 -180 -929 -632 -303 -155 48 261 -894 480 325 -30 -152],[517 -311 -307 754 -7 940 -698 -126 629 454 434 215 526 443 231 250 -277 69 -512 -420 75 783 -317 -828 -632 -134 -203 -626 647 -443 203 -52 233 -502 20 -249 239 -173 293 -478 -734 -890 333 -218 25 -326 -421 629 -70 -239],[744 243 -247 190 -323 542 -1574 459 937 306 -505 728 868 -450 946 -311 -655 -96 -965 -33 952 339 -1165 -1093 -903 -1108 449 -1 -128 -546 1172 -215 1190 -1125 -979 41 -635 637 113 -1407 -1366 -1193 178 -170 286 -1220 59 954 -100 -391]
[-809 170 255 203 862 -882 -816 -172 -112 836 -383 -942 864 918 130 35 672 -650 -141 -712 814 -762 -150 -346 469 654 -752 -453 652 718 -473 -686 343 721 512 -868 -950 944 646 375 408 -549 -820 375 951 -745 54 -843 -66 -825],[695 547 -338 -806 -552 -570 -617 -429 281 400 -706 -228 -216 427 -966 -562 410 931 293 149 338 455 -344 414 -493 -537 351 -612 123 -949 -946 533 211 649 -189 630 -862 941 -42 863 721 -924 97 770 744 -330 -23 -235 781 -639],[-114 717 -83 -603 310 -1452 -1433 -601 169 1236 -1089 -1170 648 1345 -836 -527 1082 281 152 -563 1152 -307 -494 68 -24 117 -401 -1065 775 -231 -1419 -153 554 1370 323 -238 -1812 1885 604 1238 1129 -1473 -723 1145 1695 -1075 31 -1078 715 -1464]
[-86 312 816 313 861 917 -112 389 -186 -679 85 -338 463 -509 511 322 312 172 -99 -232 -747 961 348 883 874 442 725 -144 287 593 -361 632 16 -605 319 610 -671 -803 -910 54 -546 -875 -839 969 -921 546 56 28 -863 -233],[-552 75 -833 474 488 963 721 -797 44 641 278 96 -542 246 -808 711 677 636 822 392 570 -600 -312 -480 522 -1 -317 282 -240 822 -920 -112 736 512 47 -975 588 -373 -211 458 -248 710 288 -462 -382 360 602 -2 -42 -249],[-638 387 -17 787 1349 1880 609 -408 -142 -38 363 -242 -79 -263 -297 1033 989 808 723 160 -177 361 36 403 1396 441 408 138 47 1415 -1281 520 752 -93 366 -365 -83 -1176 -1121 512 -794 -165 -551 507 -1303 906 658 26 -905 -482]
[-322 -919 -705 94 -427 -919 15 261 484 -849 236 -582 396 108 65 -967 -678 56 -512 -865 639 -648 -534 -812 724 -657 857 882 464 -175 -9 -323 404 678 763 -987 -179 194 862 -1000 84 -278 -582 -842 494 -581 428 -340 -453 180],[596 648 844 901 -684 847 817 915 -405 -52 -180 -115 624 914 121 377 511 -465 -576 979 387 3 -905 141 225 972 811 810 -674 611 139 -159 -943 -282 -806 -203 -989 -101 170 -379 909 -100 43 -282 850 236 -426 279 -611 -680],[274 -271 139 995 -1111 -72 832 1176 79 -901 56 -697 1020 1022 186 -590 -167 -409 -1088 114 1026 -645 -1439 -671 949 315 1668 1692 -210 436 130 -482 -539 396 -43 -1190 -1168 93 1032 -1379 993 -378 -539 -1124 1344 -345 2 -61 -1064 -500]
[506 179 -848 889 -863 505 -304 -869 -375 -677 59 -509 -611 520 -481 -464 -396 914 -558 -438 -581 -258 42 -228 -407 -897 -436 81 -547 759 -7 433 140 474 -313 829 490 689 421 -336 52 -237 821 286 420 582 995 40 -75 -294],[299 -225 -499 139 796 -53 117 -659 -138 -77 -496 -238 -729 -259 -76 -375 511 -341 920 -53 -589 -454 876 296 378 301 -604 -781 984 331 -193 219 -209 -201 20 -558 -877 639 -686 854 -153 -482 278 814 566 988 -798 -604 -919 733],[805 -46 -1347 1028 -67 452 -187 -1528 -513 -754 -437 -747 -1340 261 -557 -839 115 573 362 -491 -1170 -712 918 68 -29 -596 -1040 -700 437 1090 -200 652 -69 273 -293 271 -387 1328 -265 518 -101 -719 1099 1100 986 1570 197 -564 -994 439]
[918 -904 614 577 991 125 -451 260 360 152 251 283 -74 -579 -963 -152 -898 198 51 -326 -619 -998 -584 591 -339 56 -881 698 712 528 703 72 -314 921 -462 -876 36 -659 608 -130 -130 -125 -472 -755 -872 -634 -105 -602 -77 944],[-654 309 904 -634 -639 -499 -162 879 588 -693 -125 -83 149 144 -483 -415 395 -548 -708 -771 916 -322 36 -577 -457 -284 946 803 -991 -153 -845 -955 300 788 -820 538 -467 -980 -972 -407 807 -95 -169 -571 -554 -742 269 66 480 -188],[264 -595 1518 -57 352 -374 -613 1139 948 -541 126 200 75 -435 -1446 -567 -503 -350 -657 -1097 297 -1320 -548 14 -796 -228 65 1501 -279 375 -142 -883 -14 1709 -1282 -338 -431 -1639 -364 -537 677 -220 -641 -1326 -1426 -1376 164 -536 403 756]
[977 114 502 -707 -851 914 970 103 -861 -300 -11 -587 -578 362 148 620 -417 -721 660 866 -782 -194 -354 -900 -970 4 -281 -613 457 142 390 -797 -156 -552 534 99 707 -599 -965 451 -930 -516 -227 825 -324 975 925 586 -428 326],[-542 894 -466 -615 -961 153 -103 71 -132 -629 650 174 -727 -183 -855 968 -512 565 -434 -296 59 388 82 -70 -413 142 -864 211 -467 -766 823 961 -384 617 967 802 -253 -660 -197 -295 -924 765 -289 -561 -324 799 242 560 -655 267],[435 1008 36 -1322 -1812 1067 867 174 -993 -929 639 -413 -1305 179 -707 1588 -929 -156 226 570 -723 194 -272 -970 -1383 146 -1145 -402 -10 -624 1213 164 -540 65 1501 901 454 -1259 -1162 156 -1854 249 -516 264 -648 1774 1167 1146 -1083 593]
[76 -552 632 236 -289 -6 535 -515 -852 614 680 -655 38 703 -371 -627 285 -169 78 -957 -404 -244 -962 864 246 -163 -795 579 804 67 -947 -367 221 410 964 797 -183 -456 209 -228 394 539 -548 -686 -122 -680 49 154 -703 308],[455 -824 -32 936 244 -761 875 -771 -652 320 -680 -842 203 -739 607 752 -239 -579 -147 347 -487 -409 664 150 585 963 -784 850 -401 746 421 -320 -53 -672 41 -115 -459 141 379 -722 -437 -92 -906 -664 885 -580 609 -449 809 -154],[531 -1376 600 1172 -45 -767 1410 -1286 -1504 934 0 -1497 241 -36 236 125 46 -748 -69 -610 -891 -653 -298 1014 831 800 -1579 1429 403 813 -526 -687 168 -262 1005 682 -642 -315 588 -950 -43 447 -1454 -1350 763 -1260 658 -295 106 154]
[57 837 716 84 -877 913 880 926 -254 587 43 -793 476 389 638 -297 484 -575 -28 -937 -635 482 48 634 -579 -643 424 30 -227 -235 -888 549 249 -733 -518 185 -661 -164 772 681 -517 988 786 -228 136 726 -497 980 606 -892],[112 949 -448 -546 -414 -925 940 568 494 -773 400 -263 -396 -687 970 -248 603 314 801 550 624 839 -293 779 910 180 -409 841 826 98 651 -42 569 132 -749 -996 -810 -995 -742 978 -180 -221 -403 676 -348 -134 -655 11 -534 869],[169 1786 268 -462 -1291 -12 1820 1494 240 -186 443 -1056 80 -298 1608 -545 1087 -261 773 -387 -11 1321 -245 1413 331 -463 15 871 599 -137 -237 507 818 -601 -1267 -811 -1471 -1159 30 1659 -697 767 383 448 -212 592 -1152 991 72 -23]
[-995 -674 -301 507 -963 274 -390 115 980 -442 312 745 -597 -702 -456 132 253 648 784 -383 327 369 -555 -597 727 237 -103 -163 190 690 -771 518 889 192 982 -186 -395 -739 733 192 601 798 636 -492 -562 -21 -890 -157 235 -529],[384 655 737 357 37 496 348 -595 906 -983 -855 -968 621 -960 -258 -598 -663 -286 365 871 -968 27 98 -310 -408 -555 -985 367 994 28 -315 -983 -798 979 877 -505 661 -688 -366 -66 586 924 -463 -525 104 891 564 578 -20 -593],[-611 -19 436 864 -926 770 -42 -480 1886 -1425 -543 -223 24 -1662 -714 -466 -410 362 1149 488 -641 396 -457 -907 319 -318 -1088 204 1184 718 -1086 -465 91 1171 1859 -691 266 -1427 367 126 1187 1722 173 -1017 -458 870 -326 421 215 -1122]
[282 -886 -344 646 327 -600 780 184 71 -611 838 -229 134 -621 117 -852 -293 -9 916 -554 -253 859 974 13 -318 -528 474 622 -207 -802 714 376 209 412 -206 -239 416 -573 885 536 844 -88 887 -109 4 -681 530 547 133 -980],[540 115 -530 -888 -872 651 -527 925 -440 -977 375 421 -413 476 -697 566 -457 45 -53 -716 609 796 593 716 470 -132 652 -602 372 -372 238 -111 820 -622 -555 -316 489 145 771 -67 706 496 978 -402 325 -249 592 176 -158 717],[822 -771 -874 -242 -545 51 253 1109 -369 -1588 1213 192 -279 -145 -580 -286 -750 36 863 -1270 356 1655 1567 729 152 -660 1126 20 165 -1174 952 265 1029 -210 -761 -555 905 -428 1656 469 1550 408 1865 -511 329 -930 1122 723 -25 -263]
[-333 102 -235 838 967 807 224 397 -618 215 922 -164 -877 220 588 183 459 -364 362 -213 152 825 484 -21 310 -113 71 978 -50 -966 -400 -771 433 -410 902 -76 -993 -106 595 -975 -920 -997 554 858 367 -448 902 894 -556 994],[741 614 -734 -588 -277 -637 55 -766 -656 -515 231 -786 -85 71 18 944 632 764 -76 -153 -178 68 815 -671 -459 201 -570 188 989 -459 198 405 374 58 205 -167 -450 119 -884 900 756 -518 -954 -441 812 -802 -515 -668 -712 368],[408 716 -969 250 690 170 279 -369 -1274 -300 1153 -950 -962 291 606 1127 1091 400 286 -366 -26 893 1299 -692 -149 88 -499 1166 939 -1425 -202 -366 807 -352 1107 -243 -1443 13 -289 -75 -164 -1515 -400 417 1179 -1250 387 226 -1268 1362]
[-281 -104 -3 -173 847 -620 216 -96 -643 781 643 993 690 -560 -933 668 -408 -923 757 71 30 222 367 -782 -103 -463 -45 702 759 -348 -592 -830 -421 122 835 -786 -499 -431 397 18 -919 -384 560 282 222 533 988 -747 -977 -223],[170 -41 702 62 500 197 -368 -380 558 -222 -246 -359 277 -821 577 501 -68 -996 880 -610 -469 973 246 -25 452 661 937 929 214 123 662 875 792 346 -818 -849 -600 795 -290 -770 145 -74 -398 40 -885 810 572 655 -779 930],[-111 -145 699 -111 1347 -423 -152 -476 -85 559 397 634 967 -1381 -356 1169 -476 -1919 1637 -539 -439 1195 613 -807 349 198 892 1631 973 -225 70 45 371 468 17 -1635 -1099 364 107 -752 -774 -458 162 322 -663 1343 1560 -92 -1756 707]
[-11 54 541 -825 -479 -154 881 681 70 -644 853 -164 -577 -91 725 544 -878 -914 -992 810 -220 -767 -157 -656 324 -765 103 543 -802 44 -552 965 50 137 -302 395 768 -943 -235 -16 117 -395 722 -832 -816 736 540 -987 476 -173],[714 -697 -943 -22 985 -683 590 -844 -864 -502 -274 891 831 687 564 562 -657 -527 -624 984 -741 -510 -48 393 -176 -733 263 -920 -813 867 -683 -633 -356 -167 266 -108 -879 -179 379 325 -455 360 121 184 -227 -85 -682 -284 176 -628],[703 -643 -402 -847 506 -837 1471 -163 -794 -1146 579 727 254 596 1289 1106 -1535 -1441 -1616 1794 -961 -1277 -205 -263 148 -1498 366 -377 -1615 911 -1235 332 -306 -30 -36 287 -111 -1122 144 309 -338 -35 843 -648 -1043 651 -142 -1271 652 -801]
[-226 -115 207 943 766 -110 -52 -777 -860 -700 -965 -483 482 -518 280 68 675 74 665 -224 -51 -505 662 132 71 220 633 -780 494 565 378 340 431 -716 961 -935 265 570 -724 953 -774 -341 567 566 -237 -588 171 134 620 97],[-587 512 -82 883 222 -101 -315 -690 869 382 -838 -329 104 189 502 840 674 197 -280 -204 -982 -717 319 -758 844 -417 -870 516 -826 24 -447 933 805 -327 780 671 -814 197 355 -970 811 27 979 222 -93 -206 -266 -837 281 874],[-813 397 125 1826 988 -211 -367 -1467 9 -318 -1803 -812 586 -329 782 908 1349 271 385 -428 -1033 -1222 981 -626 915 -197 -237 -264 -332 589 -69 1273 1236 -1043 1741 -264 -549 767 -369 -17 37 -314 1546 788 -330 -794 -95 -703 901 971]
[-301 522 148 -216 656 -169 764 -533 -19 -685 807 608 456 -37 -856 -123 634 193 838 280 856 324 -751 -761 -380 -821 -578 -729 222 -202 -274 667 432 186 -271 681 114 95 306 -501 62 379 909 -289 912 -444 -66 -846 -538 -710],[512 -114 726 -104 -789 568 954 -15 -238 923 -550 21 -216 -825 -913 148 25 -800 -225 -609 562 -501 -465 -381 -39 473 -145 196 253 142 739 576 494 677 209 149 -906 997 731 516 -272 -918 274 -513 -323 -33 783 -681 503 -681],[211 408 874 -320 -133 399 1718 -548 -257 238 257 629 240 -862 -1769 25 659 -607 613 -329 1418 -177 -1216 -1142 -419 -348 -723 -533 475 -60 465 1243 926 863 -62 830 -792 1092 1037 15 -210 -539 1183 -802 589 -477 717 -1527 -35 -1391]
[849 132 -690 355 943 -810 50 979 -113 708 -642 388 -653 302 -654 834 146 -383 664 -567 143 -305 -272 -145 -911 -978 -510 426 963 349 418 619 -20 612 -846 -328 85 -89 387 -489 365 -74 -197 969 182 -734 597 685 205 289],[-702 -65 -668 -429 848 846 938 581 416 -994 -944 663 957 -132 -759 -241 990 -239 372 -477 784 -249 282 596 740 -462 606 968 -576 125 848 976 877 113 978 293 79 131 -983 934 438 -713 399 -846 -710 826 -388 -89 -418 -556],[147 67 -1358 -74 1791 36 988 1560 303 -286 -1586 1051 304 170 -1413 593 1136 -622 1036 -1044 927 -554 10 451 -171 -1440 96 1394 387 474 1266 1595 857 725 132 -35 164 42 -596 445 803 -787 202 123 -528 92 209 596 -213 -267]
[949 236 -955 695 -953 -426 878 -58 33 -190 -614 -249 -161 9 -872 624 513 -800 -200 103 -416 -171 -377 303 -354 649 -920 337 -177 -506 -856 857 -802 347 746 -142 -523 947 -602 -211 479 -1000 226 463 737 -3 -812 -623 208 -73],[-138 -332 358 -989 425 587 -425 -445 884 413 -653 -717 -308 -847 -523 -204 695 981 -855 -550 966 810 24 274 186 96 -536 -105 279 -945 -137 -813 823 -456 991 147 471 -640 -634 170 580 831 89 -973 729 593 870 255 364 793],[811 -96 -597 -294 -528 161 453 -503 917 223 -1267 -966 -469 -838 -1395 420 1208 181 -1055 -447 550 639 -353 577 -168 745 -1456 232 102 -1451 -993 44 21 -109 1737 5 -52 307 -1236 -41 1059 -169 315 -510 1466 590 58 -368 572 720]
[173 350 -421 -575 -767 644 294 305 419 -185 369 484 -184 888 -230 795 161 502 -306 775 725 -695 -528 609 212 310 818 -72 738 -626 -799 271 468 -144 -366 741 714 306 34 -186 4 -642 642 -59 798 154 876 688 -622 642],[174 -912 149 -448 395 449 243 658 495 -924 -479 646 -525 -356 -581 438 295 978 967 919 -357 806 150 -405 138 -542 523 -859 739 7 -800 977 997 433 810 -243 -37 938 -261 790 612 670 -444 584 566 -573 602 -212 140 2],[347 -562 -272 -1023 -372 1093 537 963 914 -1109 -110 1130 -709 532 -811 1233 456 1480 661 1694 368 111 -378 204 350 -232 1341 -931 1477 -619 -1599 1248 1465 289 444 498 677 1244 -227 604 616 28 198 525 1364 -419 1478 476 -482 644]
