train_input_1,train_input_2,train_output_1
d2Z1\V,"dQd""\V","1 2 Q
2 Z d
3 1 """
a0Uj9,a0Oj9A,2 U O
aqdd,%qd|,"0 a %
3 d |"
`2+,o2!,"0 ` o
2 + !"
"K""r_QvQQW-","K""r_qvjbW-","4 Q q
6 Q j
7 Q b"
Uc<$9G3k,UQ{fqG3Z,"1 c Q
2 < {
3 $ f
4 9 q
7 k Z"
bsJV(b)},4sJd/}?S,"0 b 4
3 V d
4 ( /
5 b }
6 ) ?
7 } S"
qK++iB:,PKT+XB:,"0 q P
2 + T
4 i X"
"S""qLYVd:-=","97q,Y-d:-q","0 S 9
1 "" 7
3 L ,
5 V -
9 = q"
,:,
9s]@,9s]@Z),
Vm_2te'by,\me2t]'5y),"0 V \
2 _ e
5 e ]
7 b 5"
}6^WPH,}6^W3,4 P 3
qp:/deOklP,:-:/deIklJ,"0 q :
1 p -
6 O I
9 P J"
3q,L>E4n.1z,"0 3 L
1 q >"
cv#[,c@/[s,"1 v @
2 # /"
),,
uk].-,q!].,"0 u q
1 k !"
Q:$)3.W,Q:$43:WU,"3 ) 4
5 . :"
YN`5o,YN`,
qmtm,q~bP,"1 m ~
2 t b
3 m P"
mzw[^kHA#,mzw[^kHA#,
d'CL%5sJ@c,A'CL%5sL@c,"0 d A
7 J L"
Bb,Bb,
H,H,
3A\%@,3A\%@,
OT,O,
Y7z`sl9.^<,Y<A`sI95U<,"1 7 <
2 z A
5 l I
7 . 5
8 ^ U"
G#x-#S,q#xz#0,"0 G q
3 - z
5 S 0"
;,,
]G),7G1,"0 ] 7
2 ) 1"
Pi]X+TJP,Pi]X+Kg,"5 T K
6 J g"
@,,
&,qh,0 & q
=@fLay,=x)Lby,"1 @ x
2 f )
4 a b"
,),
`@Sf>bJ*q,`WSf>bJ*B,"1 @ W
8 q B"
t#Etp2E>t!,H#EtR2E>tg,"0 t H
4 p R
9 ! g"
zm?-G[*I',"zm?{GY|I""<","3 - {
5 [ Y
6 * |
8 ' """
<V_$,O@_gX,"0 < O
1 V @
3 $ g"
_wYO,SwYO,0 _ S
"#,","[,1w;",0 # [
GU,K,0 G K
]O',mh',"0 ] m
1 O h"
G}!ur,G}!ur,
$I.W2,$Iv52,"2 . v
3 W 5"
m+LodV,mo>od8zlmE,"1 + o
2 L >
5 V 8"
"~,VC?""R=P","~,TC?LR=","2 V T
5 "" L"
'F'+z11},'F'!z11},3 + !
6>rt7,6>rt,
Jv5,JvED,2 5 E
z9y,z9,
>JbQ'$,>5bQ7$,"1 J 5
4 ' 7"
=f7)\,"#fs""","0 = #
2 7 s
3 ) """
"E,35e9","E,35e9A",
_ymqk`%Kkb,_#wqk`%Kkb,"1 y #
2 m w"
6,6,
p89<,p(@<\,"1 8 (
2 9 @"
nHY@k>,n/I@k>,"1 H /
2 Y I"
&SQ,KCQ,"0 & K
1 S C"
Z=^(&D,Z=^(&D,
:+.Ha{oWE,m+.H:{DW=,"0 : m
4 a :
6 o D
8 E ="
hV.,hV,
@d'F#!5$jT,@d'S#L5$j,"3 F S
5 ! L"
J,J,
<.D8,<NDS,"1 . N
3 8 S"
NnfU,EnXN,"0 N E
2 f X
3 U N"
%Y,XPz,"0 % X
1 Y P"
e<HV^a?,ersV,"1 < r
2 H s"
pO9K=,|O9;_*,"0 p |
3 K ;
4 = _"
W:\J,W:\#,3 J #
Q!{,g!S,"0 Q g
2 { S"
"8Y""'","8Y""7y",3 ' 7
=7Q)O,07Q)O,0 = 0
N!,j,0 N j
0e,0,
L,2H$&`Y?.,0 L 2
"$,_VdV@","1,VV-A","0 $ 1
2 _ V
4 d -
5 V A"
\*,*,0 \ *
?Ts+u9v/,?TLWF(v,"2 s L
3 + W
4 u F
5 9 ("
,v,
dh,dh,
VjBGB?,VFBG`)3,"1 j F
4 B `
5 ? )"
+v]<ra,+t]TNk,"1 v t
3 < T
4 r N
5 a k"
1(fM3Z[<,V-fM3Z$w,"0 1 V
1 ( -
6 [ $
7 < w"
#2?e8x|Z.,#2?TIbG~H,"3 e T
4 8 I
5 x b
6 | G
7 Z ~
8 . H"
cyd)~.4H,Puu$~.4y,"0 c P
1 y u
2 d u
3 ) $
7 H y"
@+=D,8V=D,"0 @ 8
1 + V"
Q==lj.GG,zi=lj.GG,"0 Q z
1 = i"
TNLB,$NJBb?x,"0 T $
2 L J"
h,[,0 h [
Cw9Z:zm2,Cw93:zmm,"3 Z 3
7 2 m"
_-)D,_4)[3,"1 - 4
3 D ["
,[,
duaeuch,Cuaeuc,0 d C
=v$yI,"=v""ej","2 $ ""
3 y e
4 I j"
4_^,4_,
",[[,",",k[E","1 [ k
3 , E"
0B%],0B%],
M,M<,
>!9',>Z}'[,"1 ! Z
2 9 }"
uV[:z~,uV!:z~_,2 [ !
!,!,
J,b,0 J b
*CtCU!vf36,"*C(,""!vf3","2 t (
3 C ,
4 U """
@fC;,@4C;,1 f 4
VY@&D7,jh@&37,"0 V j
1 Y h
4 D 3"
q-j(B!),q-jG/!v,"3 ( G
4 B /
6 ) v"
F,u,0 F u
8JGO~Xb[8,8JGcCXb[;,"3 O c
4 ~ C
8 8 ;"
9Q,u_,"0 9 u
1 Q _"
<@U-/g,8@U-/,0 < 8
`,C),0 ` C
i}e_M,p}e>M,"0 i p
3 _ >"
rk*D'n,rkTV',"2 * T
3 D V"
aU6gW>,5U6#W{d,"0 a 5
3 g #
5 > {"
Rct,RceJ=%,2 t e
G-z,,
~XQ[l,~Xd[BP,"2 Q d
4 l B"
"'""W[","'"".$","2 W .
3 [ $"
;KL,T{L,"0 ; T
1 K {"
MW2@4w.O,MW2@ww.O,4 4 w
!R'),!9'),1 R 9
mlqk,ml-,2 q -
c6}*,c6},
*{#gv,*{n'v,"2 # n
3 g '"
`b+Y,,
fF]}1,FF]}1,0 f F
?DQ-[*4V,?.Q-p*:V,"1 D .
4 [ p
6 4 :"
,p,
1XhC\4,1*m?\z),"1 X *
2 h m
3 C ?
5 4 z"
T),T)r,
L@/Gy,L\/G,1 @ \
9G*pUmq7V,9l~ctjq]8,"1 G l
2 * ~
3 p c
4 U t
5 m j
7 7 ]
8 V 8"
u)`1.w$f,u)`_.@$f,"3 1 _
5 w @"
"L0LW""mQ)","c=LW""TQg","0 L c
1 0 =
5 m T
7 ) g"
;:'Ga#5h>,;:'GaZ5h>,5 # Z
5,,
ghR!@2lh,ghR!@2kh,6 l k
4),|)/,0 4 |
fx_o16Mald,fx_o16MMI,"7 a M
8 l I"
0%,0,
"}""f)~x{-D","}mQ)~8{-,~","1 "" m
2 f Q
5 x 8
8 D ,"
|N1+(2E=,|N7+W`7=+,"2 1 7
4 ( W
5 2 `
6 E 7"
e]a{,era{,1 ] r
qd,/dq,0 q /
FZ7\Fc.,FZ%d~D.=,"2 7 %
3 \ d
4 F ~
5 c D"
p[,2[,0 p 2
tD7,,
5m,mmH]pk,0 5 m
S,,
[,/,0 [ /
Mj{,Mjg/,2 { g
3N3V$?:WW,CN3v$?:jA,"0 3 C
3 V v
7 W j
8 W A"
"Z_-f2[,D","Z_Y9fz,D","2 - Y
3 f 9
4 2 f
5 [ z"
^KW$Ryln,]VM$Ryli,"0 ^ ]
1 K V
2 W M
7 n i"
$Gg+py,TGg2p,"0 $ T
3 + 2"
d3}L~_P%G,dD}*~_O%,"1 3 D
3 L *
6 P O"
O,,
;]/qB.,";x/""a","1 ] x
3 q ""
4 B a"
wD`yFJ,wD`c!PP,"3 y c
4 F !
5 J P"
KXXA,7XXA,0 K 7
9l7,9l7,
!{Mxs,!*M]s,"1 { *
3 x ]"
oNK]8`,]NK]8`,0 o ]
0d5*:,0d%*:i,2 5 %
7~IzgFdm~,7~L6}<dm~g,"2 I L
3 z 6
4 g }
5 F <"
\c6%QbRD,\c:6:bRf,"2 6 :
3 % 6
4 Q :
7 D f"
"4,DAC^","5,DAC",0 4 5
7&d,7&&,2 d &
Z,Z,
\5aX9IT,C5aXmIT,"0 \ C
4 9 m"
<#VDi,<PCDiE,"1 # P
2 V C"
EVMN6,/V`m6<,"0 E /
2 M `
3 N m"
vI5Q5B,ZI5Q5B,0 v Z
Gv$,Gv,
I,,
07p#$,0Pn#$,"1 7 P
2 p n"
?pl>,?1lf,"1 p 1
3 > f"
E?1v:,E?1v,
p`J3'\Jj,p`J3'ZJ7,"5 \ Z
7 j 7"
_,_[%,
ox,oc,1 x c
qc#mr!Rz7B,Gi#UO!R](,"0 q G
1 c i
3 m U
4 r O
7 z ]
8 7 ("
cGrNq%&,{Gr~q%&,"0 c {
3 N ~"
g(n,gwn,1 ( w
~N,,
"U,8X;zMf",U[8X;z>f,"1 , [
6 M >"
"]i""qM+p""K","]uaqM`p""","1 i u
2 "" a
5 + `"
G#,Q#,0 G Q
8KGU,8KGU#,
S6PeMFdU,zGP`Medh,"0 S z
1 6 G
3 e `
5 F e
7 U h"
:,,
zjLl54=;&,z$Ll54=;&q,1 j $
,"rzj)""V\.",
70V=p^44,"7,V9p^EW","1 0 ,
3 = 9
6 4 E
7 4 W"
gOYAw,g'YD,"1 O '
3 A D"
`,`a,
mJ,mJ,
,6>W6b$<,
J\-\2{A,Jv-\Z{A,"1 \ v
4 2 Z"
z7,,
P,p,0 P p
g^,z^-c,0 g z
`,`7,
c,c,
k]q,P]s,"0 k P
2 q s"
"9,.oI+R!%A",9b.%I+R!%?,"1 , b
3 o %
9 A ?"
+pwfzOhXk,+pwf_phX9,"4 z _
5 O p
8 k 9"
R*kZXS(,R^<mO:(,"1 * ^
2 k <
3 Z m
4 X O
5 S :"
Q,Q;b,
Q6gyir,Q(gtLze,"1 6 (
3 y t
4 i L
5 r z"
5HX>$oJc%],5Hn>Cofc%],"2 X n
4 $ C
6 J f"
x'J]/;FD,x'&]/TFD,"2 J &
5 ; T"
I2'KG[d,IN'KG[dq,1 2 N
),,
]kQ5OTt):,]Ma52TI):,"1 k M
2 Q a
4 O 2
6 t I"
C5,b5,0 C b
'9{7my,'~P~ma,"1 9 ~
2 { P
3 7 ~
5 y a"
t4s,yms,"0 t y
1 4 m"
3LO-.E`L|,p]ru`E`L|@,"0 3 p
1 L ]
2 O r
3 - u
4 . `"
3Xj.k,3aj~k,"1 X a
3 . ~"
9,9I,
f{bH,,
!)IutGf,!)IutGf,
"j;>$o,",I;c$6v@,"0 j I
2 > c
4 o 6
5 , v"
J/T.{Q-5,a/4.{m-*],"0 J a
2 T 4
5 Q m
7 5 *"
F,f,0 F f
8.x,8bx,1 . b
?`v;?(MBu,?`';?[[)u!,"2 v '
5 ( [
6 M [
7 B )"
)Y'@KBuVd/,?YZ@2BuVd/,"0 ) ?
2 ' Z
4 K 2"
K1~j,K2~j,1 1 2
>5t*0w54f,>vt`QH54;R,"1 5 v
3 * `
4 0 Q
5 w H
8 f ;"
"c<'~}""",,
L,Le,
-wHQ?<,-,
0PtAr,0htA,1 P h
bO<u7K|5fR,^O<u7>|5fR,"0 b ^
5 K >"
\pRe',\pRgu,"3 e g
4 ' u"
{,{,
,/,
04,04l*7,
"t,R","t,R",
ihMH,JW2H,"0 i J
1 h W
2 M 2"
Ta,Z,0 T Z
^},e},0 ^ e
"m""Yd,#g","m%YK,#\","1 "" %
3 d K
6 g \"
xl~@,",l~@","0 x ,"
_t,_t,
"RRm@ve""+",RRmPvcP+,"3 @ P
5 e c
6 "" P"
~A]ga,"~o]g,","1 A o
4 a ,"
",9",Rfm\3,"0 , R
1 9 f"
@IRwU]lYT,B|RwU]kYTU,"0 @ B
1 I |
6 l k"
5,U,0 5 U
5WfH,`dfH,"0 5 `
1 W d"
hK)t>FB=Ya,"h!1_UF,(Y","1 K !
2 ) 1
3 t _
4 > U
6 B ,
7 = ("
^,^,
|hF?n%N,qhF?n%N,0 | q
hy=0lx8AQA,yy=KlxZn[A,"0 h y
3 0 K
6 8 Z
7 A n
8 Q ["
t{YJ{\|b*,t{YJ{\|b,
>,-,0 > -
_@|Xy],_@CXyB[,"2 | C
5 ] B"
3B`d,~A`,"0 3 ~
1 B A"
@d1zf,Pd8z,"0 @ P
2 1 8"
S~,p,0 S p
"qf""1J'",qf_1J,"2 "" _"
Gu,kW,"0 G k
1 u W"
b#bg~G\~%,b#bg&G\~e6,"4 ~ &
8 % e"
,W,
<1WkGoY,:1WM{oY&,"0 < :
3 k M
4 G {"
nVK,nVK,
idTUl~u0'F,idTUl~u0cE,"8 ' c
9 F E"
vl\,vp9,"1 l p
2 \ 9"
"d0ewmC3{"";","_0e#m[3{"";","0 d _
3 w #
5 C ["
sA6,mN6,"0 s m
1 A N"
];,];,
"S`@,",S#@,1 ` #
v&^!88,v9A!88)7,"1 & 9
2 ^ A"
"#z1&,Ff",#z1i%FfV,"3 & i
4 , %"
,x,
]W,]W,
3ldp;J,3l^U;+U,"2 d ^
3 p U
5 J +"
aQ@#UEg6,aQ@#IOy,"4 U I
5 E O
6 g y"
"1epc]o""","1epcVu""","4 ] V
5 o u"
-rKnvO%],-r{nve^,"2 K {
5 O e
6 % ^"
<,<G,
ix,iY,1 x Y
'/nueu|%IS,'/nueu^%I,6 | ^
]d6aCdd,]d6pb%XT,"3 a p
4 C b
5 d %
6 d X"
JV8^D,JH8^O,"1 V H
4 D O"
rnjS[,rnUO[,"2 j U
3 S O"
",B",",B",
,*2#*IIU,
,A,
E[b7V^./W,w[bI1^7/W.,"0 E w
3 7 I
4 V 1
6 . 7"
@\E%,@\E|,3 % |
)r1ft2,)yH>t2,"1 r y
2 1 H
3 f >"
!^%<,!^%<2,
u.j<[hsFV,u.jo[Z/bi,"3 < o
5 h Z
6 s /
7 F b
8 V i"
u%Tw,!uTw,"0 u !
1 % u"
"h,T0ws","h,T[w",3 0 [
_(`4:CoO,k>`L{QoO,"0 _ k
1 ( >
3 4 L
4 : {
5 C Q"
rx#tC~a3,rx#kC}XRI,"3 t k
5 ~ }
6 a X
7 3 R"
s58Wo)t9,\l<Wo)t},"0 s \
1 5 l
2 8 <
7 9 }"
C+^8,}+^|C,"0 C }
3 8 |"
dM5r_E1g,mM.r_&1g,"0 d m
2 5 .
5 E &"
,S%2gGg,
H][,H,
C[LA,C[L,
`2[dHECR|,zU1dHEC2,"0 ` z
1 2 U
2 [ 1
7 R 2"
C2,C2,
K?3c_,K?3m_C,3 c m
h,h,
+cR4,GcRdC,"0 + G
3 4 d"
DSRmob,DO>mN(,"1 S O
2 R >
4 o N
5 b ("
{P#+e,{&D+e,"1 P &
2 # D"
?,{,0 ? {
(#Qz`,(VQz,1 # V
,K,
D4:+z10Q,DT:dz10Qj,"1 4 T
3 + d"
J/](,V/],0 J V
i@t%C,i5t%,1 @ 5
zK1:EKq,)-u=4Kq,"0 z )
1 K -
2 1 u
3 : =
4 E 4"
|,|.3KJMUs0o,
"5""\Th","5""\",
3nlXwsI=+,=h~,"0 3 =
1 n h
2 l ~"
~8cG,~8F,2 c F
NtN]i68'Q4,Nt8]i6t'},"2 N 8
6 8 t
8 Q }"
~&/5v<[[,~&/+v<[[,3 5 +
HLg,<)g,"0 H <
1 L )"
]ii,oiiH,0 ] o
8#8,8JZ,"1 # J
2 8 Z"
gW6e9C$,gM2e9C$.u,"1 W M
2 6 2"
T:k{0D2!B,T:k{0-2!B,5 D -
\ku|MkW,"\""u2MkW35","1 k ""
3 | 2"
"wq(DZ,Z#","wq(.w,P)","3 D .
4 Z w
6 Z P
7 # )"
"S,t","S,VM",2 t V
TXc,MXc,0 T M
1,1,
UzW,,
dT;1!0QAKd,!T<g!0QA;,"0 d !
2 ; <
3 1 g
8 K ;"
"aEK""P",aEK\c,"3 "" \
4 P c"
v75<dB]?,v25<{kM,"1 7 2
4 d {
5 B k
6 ] M"
h!]`P!,~!a`P!xG<,"0 h ~
2 ] a"
,<,
+Jo.2Q6,+Jo.2Q6,
>nUPHKf8,NnUPH(g8,"0 > N
5 K (
6 f g"
xe~_N,xefC,"2 ~ f
3 _ C"
zF>(,z<l(,"1 F <
2 > l"
a4D`t,aCD`ti,1 4 C
Pxf#d+G/,6x2#K+^{,"0 P 6
2 f 2
4 d K
6 G ^
7 / {"
aGW,aq,1 G q
sLl]5,sLR=h,"2 l R
3 ] =
4 5 h"
z44,zr4,1 4 r
@5,@,
wVUzK,wHOz,"1 V H
2 U O"
}e3VJXP,}e`-JX$,"2 3 `
3 V -
6 P $"
x,,
Kt,Kr,1 t r
m>M<M?,m>MeM?,3 < e
5|3n`,dD3n`,"0 5 d
1 | D"
Y<d'@E!{,,
T_t,,
<3,<,
D9nXs8c,i9nXs8c,0 D i
RJXDW)f-A,[5|DW:fzAZ,"0 R [
1 J 5
2 X |
5 ) :
7 - z"
@=0=I{>,"h=.=I,>s","0 @ h
2 0 .
5 { ,"
m0,m0,
\[,,
},",j","0 } ,"
^{Z,^{{P,2 Z {
%,%%,
`JUAC>l~[,`5xAC>l~[,"1 J 5
2 U x"
"_""l=L7S","X""l=g7S","0 _ X
4 L g"
y,y,
K]]|V,KT]|V,1 ] T
fe9h:g1`*[,fJxnMg1vY[,"1 e J
2 9 x
3 h n
4 : M
7 ` v
8 * Y"
m3_zwMF?,|q_'wM*?,"0 m |
1 3 q
3 z '
6 F *"
0%p,Tpm,"0 0 T
1 % p
2 p m"
~r!1j4Nc,Nn!4:4N,"0 ~ N
1 r n
3 1 4
4 j :"
.W0,.W0,
/,/J,
R0hn,R[>,"1 0 [
2 h >"
3p,3p,
wSGp!&,wSGp!,
hF%D5}n:(,gF%DM]n:m,"0 h g
4 5 M
5 } ]
8 ( m"
S2,I,0 S I
",H`;a",+'`;a,"0 , +
1 H '"
`,`,
"R$,&x1>i","R$,&l1]T","4 x l
6 > ]
7 i T"
VIskoU,"VI,ko!","2 s ,
5 U !"
'mVtb={Mh,I}Vt:T{M5,"0 ' I
1 m }
4 b :
5 = T
8 h 5"
2Wja0/,2Wja>1,"4 0 >
5 / 1"
>=MnLO+e8,O,0 > O
N,^,0 N ^
7)[Ti7/f@,Uf[T07/f~,"0 7 U
1 ) f
4 i 0
8 @ ~"
|,"VZ,&4|b-\.",0 | V
F8,F8,
1<MlVugAl>,1<M$+ex9F8,"3 l $
4 V +
5 u e
6 g x
7 A 9
8 l F
9 > 8"
c=E,v=E,0 c v
"%\""{","%Q""",1 \ Q
sQ,UQ,0 s U
V,V,
h,!,0 h !
"cu,-:V^","o`,-:m^","0 c o
1 u `
5 V m"
Iw^-i&?E]r,@^%D/R?Epr,"0 I @
1 w ^
2 ^ %
3 - D
4 i /
5 & R
8 ] p"
oaF_,HaF,0 o H
"C""",CKw,"1 "" K"
,g,
Fn,F,
h,hZV#5K{,
f,f,
L'z\wSPp9~,j'i\wSPp9~,"0 L j
2 z i"
O5>M[Ka*,OM>p[#a,"1 5 M
3 M p
5 K #"
3q69,3M2g,"1 q M
2 6 2
3 9 g"
G[_e}j6Ll,GK7e}j6Ll,"1 [ K
2 _ 7"
b,`>,0 b `
Zy2red_\9,Zy20e9q\9,"3 r 0
5 d 9
6 _ q"
,",>r&2i",
htIPtt/P,htIP\t/j,"4 t \
7 P j"
"Gs,kvS@","Gs,kv",
"A3z6,Z",A3zTyZ,"3 6 T
4 , y"
/'&T2kw,e3eT27wa,"0 / e
1 ' 3
2 & e
5 k 7"
7&av,7Fa7,"1 & F
3 v 7"
sI-&~W%,"sI3,dW%","2 - 3
3 & ,
4 ~ d"
E{Cgs#l$$,E{7gs^U$,"2 C 7
5 # ^
6 l U"
5TPyeW?Cs,5TPyei?ms,"5 W i
7 C m"
}-/,}-,
"k$R,[YwSpC",wQL-2|pSpD,"0 k w
1 $ Q
2 R L
3 , -
4 [ 2
5 Y |
6 w p
9 C D"
#4dCK+481,#4~CD+48l,"2 d ~
4 K D
8 1 l"
w,w,
6_[vLq!;,:&.vL*!;,"0 6 :
1 _ &
2 [ .
5 q *"
AU,/D^,"0 A /
1 U D"
v,v,
%pVO\GW'T,Ap.OjGW|T,"0 % A
2 V .
4 \ j
7 ' |"
",",",""",
IHb&=^O`c(,aH',"0 I a
2 b '"
^(*@@rk,"J,*@#rk","0 ^ J
1 ( ,
4 @ #"
-x*/eHe,-x*/eHe,
2zj{,2zj,
Z,,
_$HuYd}I,)bHQYH}9,"0 _ )
1 $ b
3 u Q
5 d H
7 I 9"
"sd0,",md0,0 s m
\eV;|,\C<;|9,"1 e C
2 V <"
&,M,0 & M
PuC,PuC,
_j,\6,"0 _ \
1 j 6"
HM*rVt,HMWrV,2 * W
/QYLJPR]89,LQYaLPR]8,"0 / L
3 L a
4 J L"
"""""ON5uBhp","""^=N5S<h","1 "" ^
2 O =
5 u S
6 B <"
Fh,F,
h5%*+]|R,h`%Z+k|R,"1 5 `
3 * Z
5 ] k"
[~WFwLc,[~JFQqc,"2 W J
4 w Q
5 L q"
c.,c,
LKg],]_uQ,"0 L ]
1 K _
2 g u
3 ] Q"
<u,<u,
n,s,0 n s
sZydb,RZyq,"0 s R
3 d q"
P/,1/,0 P 1
DOyG,DOy,
>9,A,0 > A
gtR,gt,
4qj,43j8,1 q 3
4`1,0`1,0 4 0
+E=`,+pM`},"1 E p
2 = M"
mp0,_p,0 m _
E%?-BQ+7q,d%?-BQ+Gq,"0 E d
7 7 G"
Z,Z,
bAsFA='KW,bAsFA=2'Wa,"6 ' 2
7 K '"
*a*\KVo/t,*a`Q=VI/,"2 * `
3 \ Q
4 K =
6 o I"
}!F,P!FqyeZ{,0 } P
Fp,Bp,0 F B
,<is_1r,
-,L,0 - L
>#7K&{,M#7K&,0 > M
%aE3Tt,uxyzJt2,"0 % u
1 a x
2 E y
3 3 z
4 T J"
1s}#58FN,1b}#TePNn5,"1 s b
4 5 T
5 8 e
6 F P"
VLcpY;-,Vicp`;-J,"1 L i
4 Y `"
$`lhnZ,$`kjnZ,"2 l k
3 h j"
jl]L,{R],"0 j {
1 l R"
SmHQ6E-m,SmH{6Enm,"3 Q {
6 - n"
<%<vT,wxpY,"0 < w
1 % x
2 < p
3 v Y"
1,v,0 1 v
$0]ztn7/G,$0]utn7/G,3 z u
`e,`cO,1 e c
V,,
xdBzyL_w@b,/:Bzym_`@b,"0 x /
1 d :
5 L m
7 w `"
DG,DG,
!}a,!}a$,
xad,Xtd#,"0 x X
1 a t"
Q[,Q[<',
q$SP,q$,
`o)P|O,`j3>|b,"1 o j
2 ) 3
3 P >
5 O b"
MU1}DUEb,MU1=kU`u,"3 } =
4 D k
6 E `
7 b u"
rn1,4nC,"0 r 4
2 1 C"
}Dq3,*`hY,"0 } *
1 D `
2 q h
3 3 Y"
E)6H.#%tQ|,W)p6.#=eQ,"0 E W
2 6 p
3 H 6
6 % =
7 t e"
fPw6s1i',VPk6s1.',"0 f V
2 w k
6 i ."
V[;,~b;a,"0 V ~
1 [ b"
T,T?,
%p#E,yp#Ed,0 % y
d9FAGFyLp0,X6F<G-QL70,"0 d X
1 9 6
3 A <
5 F -
6 y Q
8 p 7"
*=Zd,}=,0 * }
vLo~t>y?,B.o~u>Js,"0 v B
1 L .
4 t u
6 y J
7 ? s"
,C,
T`:lSu,j`MlS,"0 T j
2 : M"
nv7#d[,uv7#d[,0 n u
#'axGY,4'ax^),"0 # 4
4 G ^
5 Y )"
"Fft<0u%,","F,T<Lu%;","1 f ,
2 t T
4 0 L
7 , ;"
#hSN0yiG,(MSN0_i_,"0 # (
1 h M
5 y _
7 G _"
R.hnu/{,R.hnvB(%,"4 u v
5 / B
6 { ("
qHq4,RHV4,"0 q R
2 q V"
{OM,{OM,
mSi1,5Z2b2,"0 m 5
1 S Z
2 i 2
3 1 b"
#,#,
YTmwIz/,vTmwOz,"0 Y v
4 I O"
uM2L^/x,SMl}9/[,"0 u S
2 2 l
3 L }
4 ^ 9
6 x ["
4'P,B'P,0 4 B
hGt{wZ5j,jG-T3ZDjw,"0 h j
2 t -
3 { T
4 w 3
6 5 D"
,Af>Ls,
r9Sw+1T,rCpw=1T,"1 9 C
2 S p
4 + ="
vxkrRUUxw#,Cx7PRUU.f,"0 v C
2 k 7
3 r P
7 x .
8 w f"
uH+,{H+o,0 u {
l!43Dh;,lm43D\[E,"1 ! m
5 h \
6 ; ["
zQPp{Y,yQPp{Y,0 z y
dq,=q,0 d =
T)Hl),T)x})X,"2 H x
3 l }"
7N$$E,"P""$SE","0 7 P
1 N ""
3 $ S"
ay*1.B,aa)1.B1,"1 y a
2 * )"
im1Ne,im1N2^,4 e 2
SM]JTE,SM]`TE.,3 J `
w]*MXc%l,w&*9Ic%l*,"1 ] &
3 M 9
4 X I"
*+I-,|+9-,"0 * |
2 I 9"
JRcxb]&,J*cxb,1 R *
lQ&,lQ&,
alxji,a]6j.,"1 l ]
2 x 6
4 i ."
C_,C,
FjOi)zL,FjOi)`L,5 z `
qId,q=,1 I =
N>[I0,N>[I0,
,2,
VDog%[D,VDog%[R},6 D R
obm\R-,oC8\R,"1 b C
2 m 8"
E~4ZL,1~jZT,"0 E 1
2 4 j
4 L T"
9Gr8VyW,"9IO,jO","1 G I
2 r O
3 8 ,
4 V j
5 y O"
rx,rx,
,o,
l.,l_,1 . _
:wTq*,nwTq,0 : n
"}:,0u)Je::","}:,",
m\4P*i,m\4PE,4 * E
r8n,Hhn0,"0 r H
1 8 h"
\Sr@px,\Sr`p2,"3 @ `
5 x 2"
?gL$h*,3Kr$h*,"0 ? 3
1 g K
2 L r"
Yk7g,Pk7O,"0 Y P
3 g O"
uP,J7,"0 u J
1 P 7"
=-MZ;|ML,"=""MZ;?8>","1 - ""
5 | ?
6 M 8
7 L >"
El?]FaSaG,El?aValaGm,"3 ] a
4 F V
6 S l"
EC,E,
G'}CPSr,G'dCPSr,2 } d
4BT,/9{,"0 4 /
1 B 9
2 T {"
X[kA:CW3,@[}AoCWM,"0 X @
2 k }
4 : o
7 3 M"
"W0HZq!^w""Z",,
,W!m,
2C=)5!G_u`,dC=0<!b\9~,"0 2 d
3 ) 0
4 5 <
6 G b
7 _ \
8 u 9
9 ` ~"
l~,l~,
8+,8+,
,8Fk{qD{(Q,
'L,W#~J3~Q,"0 ' W
1 L #"
AA8$Ao+[W,AQ8$Ab+,"1 A Q
5 o b"
p386}'-,p386fV\,"4 } f
5 ' V
6 - \"
jb^MNzjM0,jb^'Izj:0?,"3 M '
4 N I
7 M :"
,u,
~!&$I,~!&lX,"3 $ l
4 I X"
<[#^MO1},<[#D>ORP,"3 ^ D
4 M >
6 1 R
7 } P"
ks*,.s*,0 k .
-=,-,
,j,
D,,
i,((l'o9,0 i (
QNmOaAks,WN.OaAk>,"0 Q W
2 m .
7 s >"
,q,
[Q,[Qe,
gu?,gQ?,1 u Q
5hQ6.,5h`%,"2 Q `
3 6 %"
n!';1,ni';!,"1 ! i
4 1 !"
4D9W#E,qDdW#D,"0 4 q
2 9 d
5 E D"
$++,$+c,2 + c
]GW1p,]KW?p,"1 G K
3 1 ?"
WKTO>,)Kp~v=,"0 W )
2 T p
3 O ~
4 > v"
9}cakJ5,93caPJ55,"1 } 3
4 k P"
$90M,(W0M,"0 $ (
1 9 W"
5dm*,Ud$*,"0 5 U
2 m $"
",gnSC",(*nSC,"0 , (
1 g *"
iM8-li~p,iM8i[C~2,"3 - i
4 l [
5 i C
7 p 2"
pl9mh*gL,pG9Eh*nL,"1 l G
3 m E
6 g n"
S,S,
"8Jv,3gGwF]","8Hv,kgGwF","1 J H
4 3 k"
"MNllMC,q&","MNllxC,q",4 M x
SN{py_6VQ`,S0{ozM66Q,"1 N 0
3 p o
4 y z
5 _ M
7 V 6"
(FX1sRFI,(FUYI2Fq1,"2 X U
3 1 Y
4 s I
5 R 2
7 I q"
"%W""hu1/",Dy4t<NR,"0 % D
1 W y
2 "" 4
3 h t
4 u <
5 1 N
6 / R"
b,,
+mY(M,<mI(M,"0 + <
2 Y I"
yvajLJ5dZc,yvFjL_5dZc,"2 a F
5 J _"
