train,
[-45 -14 15 24 -39 0 21 -10 11 0 39 -39 -12 -5 3 5 -2 26 0 -7 -11 -1 0 0 6 2 -15 1 -23 0 9 -32 12 -6 43 14 -13 30 -1],29
[-14 -43 -17 36 27 -28 28 35 48 41 5 47 -5 -5 -7 -3 2 -10 -9 -17 25 1 2 20 32 21 -30 0 14 28 18 29 23 -32],27
[0 0 -43 0],3
[28 0 33 0 0 -13 10 45 0 0 30 -38 45 45 42 0 -40 -11],15
[15 0 22 0 -14 10 -49 11 43 -36 -10 13 -45 11 12 47 -22 -30 0 0 -20 -11 16 13 18 -37 9 44 0 -16 -4 -16],28
[1 -43 0 28 -41 2 0 43 26 -50 29 0 36 0 2 24],13
[0 -27 0 0 0 20 -46 -26 36 42 -1],4
[26 0 46 -44 -30 44 -49 42 -5 -30 -39 11 -37 -18 13 20 -18 26 10 -5 -20 -8 -26 -33 36 18 -41 8 -17],1
[40 0 -13 17],1
[0 0 26 0 -46],3
[0 -23 -11 0 -29 -17 -42 36 -46 18 -43 -48 14 -21 12 0 -30 -33 -29 39 -35 26 -11 30 -49 42 27 19 -30 -31 10 -5 49 0 0 -7 1 1 28 -10 0 -31 28 47 -36],40
[31 31 7 3 40 -48 -24 -10 25 -45 31 -19 38 30 19 0 -11 13 18 -29 0 31 -24 -8 32 21 -45 0 -39 -41 -16 -12 27 -41 0 34 33 -42 0 -28 1 -21 17 -35 38 -11],38
[0 -20 0 0 29 0 -20],5
[32 -48 -45 -1 0 -10 -49 -28 -5 0 14 -7 49 -33 0 -26 0 0 17 33 -4 2 -4 26 0],24
[3 0 -38 35 19 -31 -24 7 20 -4 10 -27 -12 26 20 0 12 -48 49 30 -17 30 0 -1 -43 -23 2 -5 3 -14],22
[-9 -13 -6 33 27 41 -26 6 -41 0 -11 -15 13 -41 -2 36 0 -7 0 50 0],20
[0 -33 9 29 41 5 -14 0 0 49 40 14 0 15 39 16 42 25 15 47 49 0 -29 4 -41 42 36 -44 32 43 15 42],21
[42 -34 -49 0 29 -42 -44 -17 0 -25 -27 -16 0 0 -43 28 -39 -1 28 -18 26 -10 31 43 30 -26 -22 47 -13 -8 42 -39 -47 0 -46 17 39 -34 -4 0 0 -8 -18 35],40
[36 6 0 47 -41 8 24 0 23 0 0 13 0 0],13
[-16 0 6 30 0 45 18 50 -27 25 36 26 33 -37 -3],4
[0 0 37 -17 -45 13 -17 7 -24 0 -36 -12 -37 -36 16 32 28 -47 -15 -28 -29 -24 20 -9 -35 25 44 -25 26 42 -33 -31 6 50 -39 -9 42 44 -7 12 -48 42],9
[31 0 -16 -30 0 42 0 0 0],8
[-9 -5 -4 43 0 15 -17 28 -2 21 44 49 -10 0 32 40 0 0 -44 -12 15 -12 -37 -45 -15],17
[-24 0],1
[0 0],1
[3 -20 19 -36 0 8 14 0 -13 0 40 44 23 35 8 0 33 7 0 -37 15 -10 -24],18
[-36 -1 -2 23 0 2 -32 0 -22 48 10 48 -37 9 -26 26 15 -32 -23 41 -48 -29 -5 -29 2 0 -8 -5 26 -34 43 0 -26 -2 0 42 -36 45 33 30 4 19 28 11 -42 50 -42],34
[36 38 -20 0 -12 2 47 48 0 19 0 40 -1 21 -39 -20 6 -33 -8 0 35 -31 44 40],19
[-38 0 -11 -7 42 -4 0 14 14 0 -6 -15 24 0],13
[-38 0 -5 24 -7 18 -46 42 -30 -50 -13 -40 -13 -14 0 4 -3 28 13 -5 -42 6 -1 31 3 48 -26 -28 2 -30 39 -50 -13 -5 -44 5 38 25 -40 1 12 23 14 50 -4],14
[4 0 -28 -42 24 0 0 0],7
[-49 0 22 0 -1 -2 -17 -20 -41 12 45 47 0 -42 0 17 30 22 -5 40 23 -13 48 38 -3 3 6 -20 -18 -13 0 -33 5 -37 6 -43 2 0 -24 -11 48],37
[-24 0 -22 -25 35 50 -32 -16 20 -35 -7 -50 -18 34 25 0 0 -37 -21 -39 6 -22 0 22 -4 28 0 17 -20 -40 -33 47 18 -30 30 0 11 48 -28 -26 -20 33 40 -16 30 38 -21 8],35
[-17 0 34 0 8 0 -36 48 16 0 -41 0 5 -7 27 0 38],15
[-42 11 -43 15 24 22 1 50 13 35 0 -24 -10 7 -36 -31 1 -39 25 -23 -6 -2 -42 10 39 -5 50 0 25 -33 0 11 -31 -26 -32 -37 -4 14 13 50],30
[16 13 -18 -27 32 20 26 44 -44 22 0 32 -2 -5 -44 -17 -8 5 -24 -14 0],20
[0 20 -10 -21 0 16 42 0 0 -44 -33 0 -40 -45 -36 37 -27 10 -28 -36 42 24 21 5 27 -12 -14 -41 0],28
[33 -2 -31 0 -6 -26 0 -23 0 0 -22 -30 12 0 -31 -8 -15 -29 44 20 22 13],13
[0],0
[-24 22 0 -22 -28 0 0 40 20 -34 0 -33 16 48 0 -33 0 7 -3 -40 41],16
[-32 0 0 8 38 -14 -5 0 0 -12 -42 0 39 -28],11
[19 14 0 -18 5 -5 30 -44 -39 37 0 -46 -8 -48 -9 38 -14 -35 40 44 -9 45 7 -9 -23 -48 31 0 -16 -41 -42 -48 28 26 28 -9 -47 -22 0 -24 44 3 29 37 12],38
[8 34 4 43 4 -13 34 0 9 -47 -37 8 22 0 -17 -25 26 33 0 -44 0 43 26],20
[25 -39 21 32 31 -11 22 -39 -18 14 0 10 -17 -7 -30 19],10
[18 0 16 10 -28 1 42 0],7
[-21 -23 -12 -33 0 -17 12],4
[22 0 37 -43 0 0 -31 0 32 -25 10 36 0 0 28 44],13
[-46 0 -40 19 -1 -2 17 23 0 40 17 44 11 37 12 33 -36 -2 14],8
[7 -41 41 -42 -7 37 0 49 -26 -26],6
[45 -10 44 -35 6 -23 5 8 11 14 0 10 16 -33 49 -34 0 0 35 29 -17 34 48 -22 39 0 -23 26 -34 25 31 -37 -12 15 41 21 44 41 38 39 -15 -9 -31 32],25
[8 -16 -23 32 50 28 -19 -7 -29 -13 -2 -36 -22 0 -1 5 0 12 23 -21 0 42 6 -47 25 -48 38 23 0 37 -37 25 24 0 -35 12 -30 5],33
[0 -16 -19 0 42 -50 0 -5 34 23 -13 7 -34 0 28 -33 -32],13
[14 6 13 0 49 39 35 11 -41 -17 31 16 -27 -45 -37 0 23 5 32 -18 18 0 4 26 -24 -28 45 0 37 -34 -42 -9],27
[16 14 -10 0 17 -42 0 -27 0 30 -41],8
[0 38 0],2
[39 48 31 -38 35 36 21 1 45 40 -33 43 -35 23 26 -33 -22 -43 -38 -30 -37 0 -12 -41 -9 -20 -28 -33 22 -16 4 7 37 34 -46 6 20 -15 -12 -46 0],40
[-48 38 47 -3 2 -44 -14 -41 0 39 -44 -16 -3],8
[49 -45 40 -40 -10 -24 -50 -21 -49 24 -45 30 7 -30 25 -22 0 10 -39 2 24 16 50 45 11 -48],16
[0 19 -46 39 1 47 -39 14 0 3 0 -41 -44 -24 -45 -6 0 2 25 -1 -12 -6 10 50 50 -2 -11 0 39 0 -25 -45 -32 -37 37 -43 28 4],29
[50 0 42 0 0 31],4
[22 0 33 -30 0 0 -39 24 -43 47 48 15 -14 4 8 -33 -17 -45 0 0 1 10 -24 24],19
[32 34 -37 16 -34 -17 -5 -19 38 -19 42 0 22 -27 23 -19 24 30 7 0 -8 -7 -40 10 -32 43 -7 44 35 -18 -39 15 1 14 18],19
[-32 -5 -44 0 -29 25 45 21 -32 29 22 0 26 30 0],14
[0 21 -21 -22 19 -13 47 27 -43 50 20 34 -7 -21 -6 -36 -5 -18 16 0 -35 -18 -33 -17 6 4 37 -34 0 35 -7 0 -3 -21 -34 0 -45 -30 -12 31],35
[-21 -47 11 0 24 -47 19 -4 46 31 -14 31 -13 39 -35 -26 20 -47 19 -3],3
[0 0 0 0 -19],3
[28 35 0 -47 0 0 0 -26 44 0 -28 45 0 0],13
[-32 27 0 -29 -24 -3 -27 13 -28 -4 37 -37 5 2 -20 -20 -14 -37 -47 -14 22 -35 -39 49 -43 -22 -25 -9 -2 40 26 -24 -21],2
[3 48 -39 -35 32 38 16 -29 -43 -20 29 -31 3 -7 36 15 0 -5 39 15 -44 -23 -23 11 21 -41 11 -20 10 2],16
[-4 42 12 -11 22 26 -37 -15 -18 -26 -47 -47 -12 0 -2 11 0 0 5 42 -39 27 -20 31 -24 -16 36 17 -29 -24],17
[42 -2 28 0 -29 33 -48 12 -8 -35 0 0 18 0 34 46 31 0 13 3 27 -26 27 -6 -21 -6 8 34 46 -10 13 -25 -11 -50 49 -35 -36 32 -29 -16 0 -46 28 2 27 10 -26],40
[31 0 9 3 -32 -29 -26 0 0 47 0 43 -43 9 -15 -34 0 40 0 48 -29 19 -32 16 33 -3 -2 7 -22 -25 7 0 -21 -44 -2 17],31
[0 0 0],2
[23 -18 -36 20 9 -9 5 2 -15 44 11 38 -34 26 -3 24 22 0 0 28 45 -10 36 -24 0 -20 45 -15 -2 0 -36 -16 11 -30 8 10 -2 16 1],29
[0 0 0 0 0 29],4
[-31 -28 23 19 38 25 -30 21 43 3 -33 -16 33 0 -25 -29 -9 0 -28],17
[41 40 -26 0 -13 31 34 0 50 -48 -43 -8 -24 -22 -7 -15 -12 -29 -14 36 5 -33 0 11 -12 6 -12 50 0 -6 -22 17 -48 7 0 -1 42 44],34
[-33 38 15 4 0 -17 -1 -15 -31 -11 0 20 -4 -27 16 0 -11 -26 0 -45 0 -43 38 10 -20 30 24],20
[-15 -36 20 18 -5 34 13 37 10 -21 -28 -40 -12 -21 -45 -6 32 11 -22 37 -42 0 2 -13 -21 -39 -1 -9],21
[48 32 3 0 0 33 0 -12 -48 0 20 0 0],12
[-36 45 32 22 -21 -47 0 -36 20 -9 -16 0 47 -8 37 -9 46 0 2 -37 14 37 0 -40 50 -13 -16 -47 42 40 -28 23 -23],22
[0 9 -36 10 15 -17 0 0 34 5 0 1 36 -28 27 44 41 42 -20 45 -14 -44 5 18 8 37 -33 16 -36 3],10
[-5 -3 24 -4 0 24 19 -27 -38 26 -35 0 -28 29 -48 2 44 0 19 -20 -11 0 24 -17 8 34 -12 4 30 -19 13 0 -21 37 47 0 0],36
[35 -13 1 -38 29 0 35 47 48 -33 -5 44 32 4 -13 -24 42 -24 0 20 11 5 -36 41 -35 -24 42 -41 -4 -50 4 -14 45 -35 0],34
[0 -39 -39 0 42 -24],3
[-33 -7 4 0 38 -48 -1 -2 -14 -30 -28],3
[0 46 24 2 -11 33 32 0 -21 0 -2 9 15 34 -9 9 0 -43 -48 -38],16
[43 -39 0 -16 38 -23 -42 0 38 0 25 -16 0],12
[-31 16 21 -48 39 24 -45 0 24 -12 10],7
[25 -35 0 -13 -41 0 -49 -38 -2 -25 -16 0 0 22 0 -45 -28 30 -31 -33 -15 41 -23 39 -35 5 -42 4 38 -47 -10 -30],14
[-27 0 -2 -9 45 -49 19 0 -20 -35 -32 -16 43 33 2 0 -24 38 -18 4 12 -16 -6 0 -9 -27 -12 -36 42 -34 1 33 -4 -1 -37 35 37 -23 -17 34 -16 24 -14],23
[-22 47 43 35 -35 -43 11 30 30 -8 8 11 -6 0 -23 -46 -40 31 40 -50 0 -26 16 0 33 -41 0 -46 -11 41 45 -35 40 2 -30 35 -25 12 47 -36 16 22 41 46 -40],26
[-20 0 -47 -43 34 40 0 -43 47 22 0 25 -8 7 3 -18 8 39 0 -29 34 -46 50 -48 -37 24 9 41 -49 36 -14 20 -40 -5],18
[-21 48 -8 14 48 35 -9 37 30 44 40 16 20 32 -43 0 16 7 -46 0 8 15 -5 20 48 -41 22 -27 -40 -15 -10 0 -38],31
[-31 -43 26 -27 43 3 -27 8 -44 -44 30 10 16 -9 0 39 22 -35 28 -46 16 4 49 -40 -12 49 26 -26 44],14
[14 0 42 21 32 40 11 3 36 -28 -36 27 18 26 -35 -30 48 23 -19 -48 -28 49 -36 0 39 3 -47 -11 0 -41 0 19 -50 50 -17 -22 32 -16 -25 -45 -45 40 25 14 0 -47 23 -6 8 0],49
[-26 -7 0 -44 12 -33 44 0 18 20 0 -46 0 -1 -24 -3 -32 -38 33 0 45],19
[10 0 -34 0 20 31 35],3
[-16 -8 12 33 -2 0 -2 -31 41 -42 38 -17 1 8 47 -31 -4 -20 -47 -45 -1 25 0 -6 -41 49 23 0 -39 -26 18 -43 -28 0 15 40 10 -21 -7 41 -36 -14 24 42 19 0 0 -38 -50],46
[50 -11 -29 2 0 0 -39 10 18 35 39 -48 -49 -7 37 -25 44 37 -30 -40 0 -33 0 -17 13 43 11 -37 39 -17],22
[-40 0 14 -43 -37 46 0],6
[-1 -43 4 0 -46 -6 -8 -3 -19 38 -42 0 44 -12 -11 33 -48 25 3 -30 35 -42 29 -45 -2 47 -3 4 -27 24 1 -9],11
[-3 -45 -44 -41 9 -15 -14 -6 2 0 -10 0 -43 38 -7 -8 10 15 27 -22 8 -40 42 0 49 49 -31 -42 30 -31 -21 -35 -38 23 5 -22 -24 -8 23 -19 13 20 -41 -48 0 -25 -10],44
[27 10 21 46 -44 -12 -32 -42 44 -46 31 35 -18 17 0 -14 -30 -33 13 22 0 0 0 -34 30 36 -2],22
[42 38 4 -5 0 -16 0 -28 -45 47 46 -48 41 0 -28 -45 49 33 -8 -17 -32 0 -49 0 34 30 29 0 9 2 0 -21],30
[0 26 12 -48 36 48 -33 -32 -22 -31 27 1 49 -48 -16 49 18 6 36 -46 0 -36 45 42 -16 13 40 43 38 22 19 0 -14 0 7 31 0 -24 -18 -46 -7 38 28 -36],36
[5 -19 17 5 -30 -4 -28 -3 2 18 36 0 -30 20 -30 -38 -6 45 -28 10 15 9 -5 -44 -48 3 0 -40],26
[-18 -38 11 22 -25 23 0 28 16 0 -40 -24 -8 -4 24 -13 45 -29 0 12 27 45 23 13 -7 50 40 -18 -27 -39 0 44 14 0 25 -29 12],33
[-13 37 -17 49 -25 -50 -47 29 13 46 26 25 0 -16 21 8 -7 37 5 22 -22 48 9 -16 -26 14 10 -18 -2 -2 -23 -42 -23 31 26 -18 13 -47 -43 46 41 -15 0],42
[4 -48 -16 2 13 -30 34 20 0 15 11 2 -5 43 -3 10 -6 -11 7 37 -19 18 -45 48 -17 -44 0 49 -47 0 5 50 0 -22 0 40 -38 39 -37 -9 -50],34
[24 -33 -5 -30 0 -21 15 0 0 30 0 50 -41 44 -5 21 4 -28 26 -18 0 -11 44 21 2 -37 18 -32 32 0 -17],29
[11 41 -39 39 -42 31 4 -41 27 -15 -22 -12 -23 0 6 21 -43 3 17 -14 -28 -23 34 46 34 -30 -34 39 -27 -22 43 25 4 -23 2 32 -15 3 -43 -25 14],13
[-26 -37 -17 18 25 40 41 29 28 -20 -43 31 9 31 -49 16 -49 15 6 -26 -28 29 14 0 0 -9 0 -17],26
[-48 -32 -7 1 -42 0 0 0 -1 -34 4 3 -42 0 -45 20 7 -4 -25 28 11 27 -14 -4 0 27 -43 -5 -44 19 -45 47 33 7 0 -8 -16 -10],34
[-19 0 -41 34 0 0 -21],5
[-43 -14 -48 42 -23 -6 0 -28 37 27 -28],6
[46 28 6 -30 -33 -28 -28 -13 -41 -30 23 -3 -44 31 -34 0 -37 -15 -1 -33],15
[-39 -39 0 46 -48 38 -33 -17 41 24 1 14 0 -10 2 50 14],12
[0 0 -19 13 13 33 18 24 -15 0 0 -46 34 -45 0 -41 31 -35 30 50 23 -26 0 -15 -17 -41 16],22
[-44 28 33 -8 29 -5 -37 27 0 -50 39 29],8
[0 -25 -45 0 -36 45 25 -3 0 -50 3 -6 -23 0 50 28 0 -46 0 3 -39],18
[-35 20 -19 -12 -1 34 24 33 -16 0 29 38 39 0 5 -7 0 41 16 -19 -39 -45 12 33 -9],16
[0 -3 -8 29 43 27 -16 41 31 22 19 -8 19 0 26 -27 -38 -18 -11 -18 -33 8 28 -31 24 10 0],26
[37 17 0 0 45 0 23 -39 23 -17 15 -42 44 12 41 1 -4 -29 -13 0 -31 48 -18 2 -8 -13 2 11 -17 -42 15 18 -14 -46],19
[0 0 5 0 0 0],5
[0 18 5 5 8 -15 -46 -1 49 15 39 37 -13 50 -45 42 24 23 -34 -11 -24 -15 -6 0 -42 27 -44 -15 33 5 -17 21 -7],23
[25 30 24 0 20 -42 28 -47 5 -49 -29 24 -27 -29 25 -22 -6 -38 43 30 13 50 -1 -38 41 -45 33 -47 17 -19 4 -40 21 44 -22 33 14 -32 -6 22 -36 -2 5 -30],3
[-47 15 -38 -18 -32 0 49 15 -41 -31 -7 -34 -29 0 0 -28 -33 50 0 -40 36 34 -17 0 -48 50 -22 -14 0 -27 5 -20 8 38 30 5 -46 12 22 -24 -17 -45 3 0 22 -8 -27 7 25 45],43
[0 38 0 0 36 -39 -1 -38 22 40 20 -39 -6 0 24 22 6],13
[0 7],0
[-29 42 -18 0 -33 -1 28 31 -37 47 40 -21 45 -13 -49 -23 16 -4 -30 -34 -9 20 -24 -28 -39 46],3
[-42 43 24 39 -23 -10 30 -30 23 -9 5 0 -11 28 0 0 -2 19 45 -25 39 5 49 8 -22 38 0 29 0 34 29 25 22 0 22 22 -30 -26 0 27],38
[11 50 0 15 47 0 -19 39 24 0 -37 0 35 7 27 -23 0],16
[-13 -29 0 46 -31 -44 8 0 35 0 44 22 17 27],9
[29 1 39 9 4 -14 0 32 22 35 -1 13 9 -9 -42 -17 -23 -4 -18 46 34 -22 0 -49 0 22 36 43 0 32 -26 4 14 42 -10 -16 -19],28
[0 -21 -6 -21 0 3 50 -24 -8 -6 1 8 -17 -3 47 40 -18 45 -30 4 27 23 -16 0 -43 9 0 41 -16 25 -19 28 0 25 14 -44 18 7 -33 -5 2 -37],32
[-40 -27 7 42 18 -17 0 13 48 -42 -11 49 0 -22 0 12 -16 8 0 44 10 36 11],18
[-41 -20 -3 0 -10 43 0 0 0 23 8 -46 0 -38 42 26 -18 0 -9 -15 -5 44 -19 23 27 45 -33 -4 0 -45 18 -13 -39],28
[0 0 -24 0 0 -27 48 -38],4
[29 23 15 -18 -50 1 -13 0 -15 -13 17 -25 41 -1 2 7 -15 -22 -6 -18 -28 -22 42 0 26 41 -35 1 38 5 -30 17 18 47 14 -48 4 2 49 -27],23
[0 -19 -34 -36 -30 0 35 44 -13 24],5
[0 -35 8 -5 26 0 43 -27 28 0 44 -32 -34 -31 42 -47 15 -27 16 -44 -23 0 -29 34 18 49 -8 33 -50 3 -21 -23 -26 20 38 23 35 -3 -32 48 -21],21
[0 -10 -22 -5 0 -42 16 -7 3 0 -28 0],11
[45 10 0 -46 38 -17 26 -8 -47 -7 0 11 23 0 10 0 22 -48 0 -22 0 11 -42 -16 23 -30 -9 -43 -46 -21 -14 -36],20
[46 -17 -8 11 27 0 -41 -21 15 -12 28 26 17 -24 -37 31 17 39 -28 9 0 -16 0 41 46 34 21 33 0 8 0 0 -1 0 3 -19],33
[0 13 -29 13 7 23 -27 43 43 17 -38 10 3 -18 -35 -26 14 15 0 -41 22 -42 42 -37 -49 0 39 0 10 0 0 46 -41 -8 17],30
[-4 29 -23 47 -18 -28 0 -20 -43 0 -4 0 14 -19 0 -21 -29 5 45 27 26 -6 43 -34 0 -5 40 -23 -19 -36 -42 -30 13 -27 7 -12 0 20 -33 -4 -27 -1 -5 -20 28],36
[0 0],1
[-16 -28 -33 -9 -49 -35 -3 17 0 -6 27 0 48 0 38 -11 0 -22 16 -4 14 43 46 -16 42 21],16
[0 0 0 -34 0 39 40 -34 0 -17 -37 20 38 9 -48],8
[-7 0 -45 -45 10 10 12 9 -44 -1 46 -4 0 44 -5 0 0 -40 5 -49 19 38 7 9 -2 -27 -20 35 -24 50 50 0 32 -24 28 44 -13 -42 2 -13],31
[9 -49 -39 -18 25 -5 0 17 -38 -45 -19 37 0 -40 -47 46 0 -5 -37 7 -8 42 45 -12 43 -37 -3 18 -12 32 8 -32 -2 -21 34],16
[0 32 -1 29 49 27 -5 38 -15 -50 -22 -29 -47 39 16 -47 0 45 -26 0 44 2 34 -45 38 -44 -42 -15 17 0 -34 -9 -4 -28 34 -3 -20 5 28 0],39
[-27 26 -19 -7 -36 5 0 50 -39 -19 45 13 31 30 -16 -33 -19 -26 0 -22 5 22 -47 -1 0 32 -4 -39 6 43 40 45 34 23 -43 41 0 -5 -11 -26 -42],36
[-5 -36 0 37 13 -40 39 14 -10 36 -35 23 20 -12 16 32 0 16 -17 7 -2 -32 28 45 0 35 0 40 47 -43 13 -29 31 -18 29 45 38 38 14 0 0 48 15],40
[45 -19 -49 23 -11 50 -31 -22 49 32 34 13 -12 0 -21 14 18 -15 -42 -8 -37 10 30 -28 -43 -1 -48 -38 42 23 0],30
[11 21 49 -14 -22 0 -10],5
[0 -22 14 -37 16 27 -4 0 0 41 0 -23 34 -7 37 0 0 -26 23 4 -19 -23 0],22
[32 -28 0 0 49 -16 46 10 13 -44 -2 0 25 -40 -37 41 -30 43 0 0 0 -4 -23],20
[-8 0 6 0 0 14 26 -21 0 -30 0 -2 38 0 -22],13
[4 2 -19 0 0 0 0 0],7
[0 -26 -44 -25 -46 -1 36 -11 29 -14 -26 -28 -49 -6 -37 -48 46 -49 21 25 -29 -42 0 0 0 -50 46 15 -20 40 -35 -31 -48 45 -48 -37 47 -14 -42 35 0 0 -16 -23 44 -4 45 -17],41
[9 -47 21 14 3 -31 31 2 20 -9 38 0 24 33 0 23 -23 0 -23 39 -8 -41 -44 27 0 -27 0 35 0 -43],28
[-23 -42 10 -40 13 -45 -23 -6 11 -15 21 47 42 -24 8 0 14 -45 -4 -11 -28 5 -10 14 -20],15
[-39 -25 -4 11 27 50 -45 -13 0 -31 -9 -17 -22 -10 -15 -2 -13 -38 19 2 47 -6 18 16 0],24
[0 -6 28 46 3 11 36 0 14 -12 -40 7 -43 -4 15 36 -4 48 24 40 18 -48 -2 25 47 -32],7
[0 0 -42 0 0 -48 0 15 -18],6
[23 3 -22 43 0 28 0 15 14 26 -37 -50 31 21 43 -20 32 -39 -9 0 38 -45 -13 44 22 42 -33 -25 -15 12 9 -10 20 14 -2 42 0],36
[48 -17 6 0 -39 20 -6 -10 -21 0 46 -15 3 0 4 -21 -47 -5 7 -27 -35 0 11 -37 -38 13 31 -42 -37 21 -35 6 0 -10 -20 -7 -3 34],32
[-21 -31 -19 9 -48 0 -7 -19 -10 -25 -34 10 28 13 -39 -40 41 -11 36 12 -43 11 -48 39 47 0 -38 0 37 -9 -43 21 -18 44],27
[-25 0 19 24 0 -44 -42 -36 0 -35 12 45 -48 5 -27 20 0 -27 -47 -2 24 -22 -2 48 -9 -11 -30 0 32 -21 48 21 -19 12 31 27 32 32 10 -4 15 -7 -18 30 17 19 0],46
[13 -31 28 43 0 43 15 -22 0 -46 32 -35 -6 -23 38 -46 -12 -40 30 -12 22 -11 -13 0 -16 29 9 45 -31 -7 0 -49 0 -10 30 0 -35 12 -7 29 -46 -45 11 45],35
[41 -28 0 -27 27 43 5 23 -14 25 29 20 43 -42 43 -13 16 10 23],2
[18 10 -33 -27 40 0 -37 -6 -29 -50 -49 -7 -31 36 25 0 0 31 9 0 -28],19
[0 -47 39 -26 -16 -23 -1 -16 4 -20 0 30 0 -18 0 24],14
[11 12 0 -15 10 44 31 -45 35 3 0 -22 -24 1 11 25 10 31 -1 35 -6 4 -18 -37 5 4 -37 -3 -9 6 -30 0 0 48 8 10 39 -29 -5 -38 44],32
[-30 14 32 -12 0 -21 -38 0 34 -4 -34 -48 -6 7 32 33 19 -28 -33 -48 -48 -22 4 -22 -25 -22 -43 0 0 42 6 -50 29 0],33
[-31 40 -8 9 30 42 10 -13 -26 -24 15 39 49 -38 24 9 38 0 -22 -49 -31 -29 -41 23],17
[36 -16 15 18 -44 -19 29 -12 -49 13 -31 0],11
[-32 -46 -25 11 1 -27 2 -18 -48 -11 -3 -41 32 -25 -25 -26 -35 1 0 1 -39 -35 40 -41 -26 14 -43 39 -21 -17 7 16 -21 0 15 -21 -26 -3 13 -44],33
[2 0 49 -47 -3 35 -42 0 -48 12 0 -46 0 31 -31 0 -21 29 -17],15
[-17 0 14 -40 0 29 -42 -50 14 0],9
[35 7 8 4 -15 0 44 37 -38 17 -14 -7 0 -23 1 -47 -6 -4 -44 -26 24 -49 0 -44 5 -4 17 -21 -20 7 0 -47 7],30
[47 50 5 26 32 0 36 0 -49 -25 -33 0 29 -1 -15 -47 -34],11
[-6 26 -30 39 15 45 -9 -1 29 3 -23 37 0 -17 -19 -16 0 4 -43 1 -19 -38 -39 50 -18 -28 5 3 -7 -14 -3 25 46 -40 4 5 -34 -8 37 -7 45 -29],16
[32 -50 4 -10 43 -30 -42 10 -25 26 7 7 26 50 27 23 -14 42 0 0 3 -28 -36 44 49 -48 46 -43 15 5 -32 18 -34 10 0 11 19 -6],34
[-13 2 34 0 -34 0 9 31 18 0 18 -1 0 -38 -37 0 -28 -33 0 3],18
[22 14 -7 20 -31 0 25 1 0 28 -50 48 9 0 39 -1 0 -20],16
[-25 27 -27 0 40 -39 -49 -23 15 0 -18 2 0 29 0 -15 46 31 0 9 24 -15 43 4 -41 -34 -46 41 11 50],18
[-24 -19 -3 41 -37 19 33 -20 36 -24 8 -8 -10 0 19 -32 23 0 -16 -44 27 -35 -8 -26 47 0 -13 34 -5 -30 12],25
[31 -9 -12 -41 -27 -46 14 0 -35 -5 -6 0 -47 3 6 -16 -8 -45 -49 -6 49 34 6 -18 5 -43 5 0 30 0 50 14 -16 -30 46 -48 19 -22 8 5 -8],29
[0 0 0 -35 0 0 0],6
[0 0 0 0 0 -17],4
[-38 1 28 1 39 2 0 15 7 -14 -32 -28 -4 6 -2 0 0 38 -2 43 -20 -35 -21 0 -31 -33 -42 -31 -14 -34 -32 -30 3 -14 -13 -23 -34 10 3 41 -9 20 17 30 -7],23
[0 0 0 -19 -36],2
[-43 -11 -22 41 0 24 15 11 -18 -40 38 11 -47 49 -19 45 -1 19 1 -5 46 -4 -29 -16 -41 39 -9 -43 -20 -45 24 28 -50 -40 24 17 -31 0 0 -14 4 11 -34 45 0 5 44],44
[0 0 0 0 0 0],5
[19 -46 0 24 -40 -7 0 11 49 -7 0 -9 44 5 -10 24 34 24 26 0 23 0 -41 0],23
[21 7 -15 -15 -6 31 0 2 0 43 4 0 16 0 36 -41 11 4 41 32 -48 17 -11 -11 -24 -6 -10 17 40],13
[-30 -33 0 36 -2 -4 4 -36 15 1 -14 -24 0 -39 -13 0 7 -15 -27 0 47 -40 40 0 -34],23
[-14 -31 35 -30 -4 -35 -41 -3 42 28 50 35 0 45 -37 48 20 -33 46 40 17 4],12
[15 33 -2 -20 0 -37 42 21 -17 27 -24 47 -18 49 3 49 -28 8 -26 -7 -19 10 28 0 12 22 1 -40 -3 17 24 -25 -47 -5 -41 0 -42 49 16 34 26 39 -47 0 -8 49 12],43
[-42 -43 6 0 43 0 -43 36 16 0 5 40 -11 -23 45 5 11 -36 0 -34 -10 36 0 41 15 -34 18 -39 -16],22
[0 12 38 -6 48 0 -7 44 41 20],5
[33 4 33 -21 -1 6 7 25 30 -27 -41 23 20 44 0 0 -27 0 -49 -5 49 38 48 -46 26 -47 -28 10 -16 -49 3 -19 0 34 13 -11 -11 -37 7 27 12 10 21 -8 29 19 30 19],32
[-40 -16 10 50 3 -31 28 -21 -2 45 23 0 -12 0 0 -6 -39 1 36 -29 -41 0 -37 -31 15],21
[-42 40 21 -28 29 -49 37 0 -12 -29 0 -42 -9 -35 13 20 -29 -20 0 -46 -3 50 16 13 -12 -42 30 -48 2 10 -14 -11 15 -18 1 -40 -50 -38 -10 -34 45 24 -21 -18],18
[0 -7 -29 27 -37 36 -10 13 15 5 -40 -18 0 0 -16 -6 4 34 -30 -9 -49 -30 -23 9 8 -11 -41 -3 37 -33 -8 -2 -26],13
[-33 16 -21 -46 37 -36 10 -3 13 31 -14 -29 -13 -35 -13 44 16 0 21 48 33 5 -33 5 16 -27 18 -35 39 -12 -45 5 0 -27 -25 34 -41 -28 12 -43],32
